
Pinging google.com [2404:6800:4002:811::200e] with 32 bytes of data:
Request timed out.
Reply from 2404:6800:4002:811::200e: time=112ms 
Reply from 2404:6800:4002:811::200e: time=153ms 
Reply from 2404:6800:4002:811::200e: time=110ms 
Reply from 2404:6800:4002:811::200e: time=316ms 
Reply from 2404:6800:4002:811::200e: time=214ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=197ms 
Reply from 2404:6800:4002:811::200e: time=160ms 
Reply from 2404:6800:4002:811::200e: time=1276ms 
Reply from 2404:6800:4002:811::200e: time=441ms 
Reply from 2404:6800:4002:811::200e: time=146ms 
Reply from 2404:6800:4002:811::200e: time=98ms 
Reply from 2404:6800:4002:811::200e: time=266ms 
Reply from 2404:6800:4002:811::200e: time=148ms 
Reply from 2404:6800:4002:811::200e: time=697ms 
Reply from 2404:6800:4002:811::200e: time=106ms 
Reply from 2404:6800:4002:811::200e: time=84ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=239ms 
Reply from 2404:6800:4002:811::200e: time=118ms 
Reply from 2404:6800:4002:811::200e: time=277ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=155ms 
Reply from 2404:6800:4002:811::200e: time=93ms 
Reply from 2404:6800:4002:811::200e: time=679ms 
Reply from 2404:6800:4002:811::200e: time=95ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=174ms 
Reply from 2404:6800:4002:811::200e: time=86ms 
Reply from 2404:6800:4002:811::200e: time=163ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=842ms 
Reply from 2404:6800:4002:811::200e: time=107ms 
Reply from 2404:6800:4002:811::200e: time=80ms 
Reply from 2404:6800:4002:811::200e: time=165ms 
Reply from 2404:6800:4002:811::200e: time=136ms 
Reply from 2404:6800:4002:811::200e: time=161ms 
Reply from 2404:6800:4002:811::200e: time=99ms 
Reply from 2404:6800:4002:811::200e: time=118ms 
Reply from 2404:6800:4002:811::200e: time=81ms 
Reply from 2404:6800:4002:811::200e: time=110ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=754ms 
Reply from 2404:6800:4002:811::200e: time=155ms 
Reply from 2404:6800:4002:811::200e: time=90ms 
Reply from 2404:6800:4002:811::200e: time=3085ms 
Reply from 2404:6800:4002:811::200e: time=83ms 
Reply from 2404:6800:4002:811::200e: time=671ms 
Reply from 2404:6800:4002:811::200e: time=314ms 
Reply from 2404:6800:4002:811::200e: time=195ms 
Reply from 2404:6800:4002:811::200e: time=62ms 
Reply from 2404:6800:4002:811::200e: time=557ms 
Reply from 2404:6800:4002:811::200e: time=267ms 
Reply from 2404:6800:4002:811::200e: time=146ms 
Reply from 2404:6800:4002:811::200e: time=68ms 
Reply from 2404:6800:4002:811::200e: time=89ms 
Reply from 2404:6800:4002:811::200e: time=1158ms 
Reply from 2404:6800:4002:811::200e: time=158ms 
Reply from 2404:6800:4002:811::200e: time=82ms 
Reply from 2404:6800:4002:811::200e: time=95ms 
Reply from 2404:6800:4002:811::200e: time=219ms 
Reply from 2404:6800:4002:811::200e: time=959ms 
Reply from 2404:6800:4002:811::200e: time=85ms 
Reply from 2404:6800:4002:811::200e: time=81ms 
Reply from 2404:6800:4002:811::200e: time=168ms 
Request timed out.
